/home/adrian/workspace/regularLanguages/doc/statistics/div31050neu
E_G_2014-05-14_11_32_45.log
Error: percentage == 0! Skipping
E_G_2014-05-14_14_55_21.log
Error: percentage == 0! Skipping
E_G_2014-05-07_02_23_13.log
Error: percentage == 0! Skipping
E_G_2014-05-14_15_02_28.log
Error: percentage == 0! Skipping
E_G_2014-05-14_13_46_14.log
Error: percentage == 0! Skipping
E_G_2014-05-14_12_22_12.log
Error: percentage == 0! Skipping
Cand:10, Probs:20, foundPercentage:2, AvgCycles:12
Cand:10, Probs:20, foundPercentage:3, AvgCycles:22
Cand:10, Probs:20, foundPercentage:5, AvgCycles:20
Cand:10, Probs:20, foundPercentage:5, AvgCycles:21
Cand:10, Probs:30, foundPercentage:3, AvgCycles:4
Cand:10, Probs:30, foundPercentage:4, AvgCycles:16
Cand:10, Probs:30, foundPercentage:4, AvgCycles:21
Cand:10, Probs:30, foundPercentage:8, AvgCycles:24
Cand:10, Probs:30, foundPercentage:8, AvgCycles:24
Cand:10, Probs:30, foundPercentage:7, AvgCycles:14
Cand:10, Probs:30, foundPercentage:3, AvgCycles:8
Cand:10, Probs:30, foundPercentage:6, AvgCycles:23
Cand:10, Probs:30, foundPercentage:2, AvgCycles:66
Cand:10, Probs:30, foundPercentage:6, AvgCycles:20
Cand:10, Probs:30, foundPercentage:6, AvgCycles:17
Cand:10, Probs:30, foundPercentage:8, AvgCycles:17
Cand:10, Probs:30, foundPercentage:5, AvgCycles:37
Cand:10, Probs:30, foundPercentage:4, AvgCycles:19
Cand:10, Probs:30, foundPercentage:5, AvgCycles:12
Cand:10, Probs:30, foundPercentage:2, AvgCycles:16
Cand:10, Probs:30, foundPercentage:8, AvgCycles:16
Cand:10, Probs:30, foundPercentage:5, AvgCycles:11
Cand:10, Probs:30, foundPercentage:6, AvgCycles:14
Cand:10, Probs:30, foundPercentage:9, AvgCycles:13
Cand:10, Probs:30, foundPercentage:4, AvgCycles:10
Cand:10, Probs:30, foundPercentage:9, AvgCycles:12
Cand:10, Probs:30, foundPercentage:4, AvgCycles:8
Cand:10, Probs:30, foundPercentage:4, AvgCycles:31
Cand:10, Probs:30, foundPercentage:3, AvgCycles:21
Cand:10, Probs:30, foundPercentage:4, AvgCycles:20
Cand:10, Probs:30, foundPercentage:4, AvgCycles:11
Cand:10, Probs:30, foundPercentage:2, AvgCycles:9
Cand:10, Probs:30, foundPercentage:4, AvgCycles:11
Cand:10, Probs:30, foundPercentage:4, AvgCycles:13
Cand:10, Probs:30, foundPercentage:1, AvgCycles:7
Cand:10, Probs:30, foundPercentage:3, AvgCycles:9
Cand:10, Probs:30, foundPercentage:5, AvgCycles:17
Cand:10, Probs:30, foundPercentage:6, AvgCycles:20
Cand:10, Probs:30, foundPercentage:7, AvgCycles:24
Cand:10, Probs:30, foundPercentage:3, AvgCycles:23
Cand:10, Probs:30, foundPercentage:4, AvgCycles:14
Cand:10, Probs:30, foundPercentage:7, AvgCycles:17
Cand:10, Probs:30, foundPercentage:6, AvgCycles:25
Cand:10, Probs:30, foundPercentage:4, AvgCycles:10
Cand:10, Probs:30, foundPercentage:4, AvgCycles:14
Cand:10, Probs:30, foundPercentage:5, AvgCycles:11
Cand:10, Probs:30, foundPercentage:8, AvgCycles:17
Cand:10, Probs:30, foundPercentage:9, AvgCycles:15
Cand:10, Probs:30, foundPercentage:2, AvgCycles:21
Cand:10, Probs:30, foundPercentage:5, AvgCycles:12
Cand:10, Probs:30, foundPercentage:5, AvgCycles:16
Cand:10, Probs:30, foundPercentage:7, AvgCycles:11
Cand:10, Probs:30, foundPercentage:4, AvgCycles:7
Cand:10, Probs:30, foundPercentage:5, AvgCycles:19
Cand:10, Probs:30, foundPercentage:5, AvgCycles:15
Cand:10, Probs:30, foundPercentage:4, AvgCycles:16
Cand:10, Probs:30, foundPercentage:4, AvgCycles:13
Cand:10, Probs:30, foundPercentage:6, AvgCycles:14
Cand:10, Probs:30, foundPercentage:3, AvgCycles:39
Cand:10, Probs:30, foundPercentage:9, AvgCycles:14
Cand:10, Probs:30, foundPercentage:4, AvgCycles:24
Cand:10, Probs:30, foundPercentage:3, AvgCycles:14
Cand:10, Probs:30, foundPercentage:3, AvgCycles:11
Cand:10, Probs:30, foundPercentage:3, AvgCycles:15
Cand:10, Probs:30, foundPercentage:3, AvgCycles:25
Cand:10, Probs:30, foundPercentage:6, AvgCycles:21
Cand:10, Probs:30, foundPercentage:3, AvgCycles:24
Cand:10, Probs:30, foundPercentage:4, AvgCycles:16
Cand:10, Probs:30, foundPercentage:5, AvgCycles:18
Cand:10, Probs:30, foundPercentage:4, AvgCycles:9
Cand:10, Probs:30, foundPercentage:6, AvgCycles:23
Cand:10, Probs:30, foundPercentage:10, AvgCycles:24
Cand:10, Probs:30, foundPercentage:4, AvgCycles:29
Cand:10, Probs:30, foundPercentage:6, AvgCycles:14
Cand:10, Probs:30, foundPercentage:5, AvgCycles:31
Cand:10, Probs:30, foundPercentage:3, AvgCycles:17
Cand:10, Probs:30, foundPercentage:5, AvgCycles:14
Cand:10, Probs:30, foundPercentage:3, AvgCycles:20
Cand:10, Probs:30, foundPercentage:5, AvgCycles:21
Cand:10, Probs:30, foundPercentage:6, AvgCycles:12
Cand:10, Probs:30, foundPercentage:5, AvgCycles:8
Cand:10, Probs:30, foundPercentage:6, AvgCycles:14
Cand:10, Probs:30, foundPercentage:3, AvgCycles:13
Cand:10, Probs:30, foundPercentage:4, AvgCycles:18
Cand:10, Probs:30, foundPercentage:5, AvgCycles:11
Cand:10, Probs:30, foundPercentage:7, AvgCycles:17
Cand:10, Probs:30, foundPercentage:3, AvgCycles:18
Cand:10, Probs:30, foundPercentage:2, AvgCycles:28
Cand:10, Probs:30, foundPercentage:5, AvgCycles:9
Cand:10, Probs:30, foundPercentage:8, AvgCycles:13
Cand:10, Probs:30, foundPercentage:4, AvgCycles:28
Cand:10, Probs:30, foundPercentage:8, AvgCycles:21
Cand:10, Probs:30, foundPercentage:5, AvgCycles:19
Cand:10, Probs:30, foundPercentage:4, AvgCycles:21
Cand:10, Probs:30, foundPercentage:2, AvgCycles:12
Cand:10, Probs:30, foundPercentage:5, AvgCycles:8
Cand:10, Probs:30, foundPercentage:7, AvgCycles:14
Cand:10, Probs:30, foundPercentage:11, AvgCycles:15
Cand:10, Probs:30, foundPercentage:6, AvgCycles:11
Cand:10, Probs:30, foundPercentage:8, AvgCycles:29
Cand:10, Probs:30, foundPercentage:5, AvgCycles:17
Cand:10, Probs:30, foundPercentage:5, AvgCycles:46
Cand:10, Probs:30, foundPercentage:7, AvgCycles:11
Cand:10, Probs:30, foundPercentage:7, AvgCycles:17
Cand:10, Probs:30, foundPercentage:5, AvgCycles:40
Cand:10, Probs:30, foundPercentage:5, AvgCycles:9
Cand:10, Probs:30, foundPercentage:2, AvgCycles:18
Cand:10, Probs:30, foundPercentage:1, AvgCycles:21
Cand:10, Probs:30, foundPercentage:4, AvgCycles:12
Cand:10, Probs:30, foundPercentage:4, AvgCycles:6
Cand:10, Probs:30, foundPercentage:5, AvgCycles:16
Cand:10, Probs:30, foundPercentage:4, AvgCycles:24
Cand:10, Probs:30, foundPercentage:6, AvgCycles:19
Cand:10, Probs:30, foundPercentage:4, AvgCycles:22
Cand:10, Probs:30, foundPercentage:6, AvgCycles:19
Cand:10, Probs:30, foundPercentage:5, AvgCycles:28
Cand:10, Probs:30, foundPercentage:6, AvgCycles:19
Cand:10, Probs:30, foundPercentage:5, AvgCycles:24
Cand:10, Probs:30, foundPercentage:10, AvgCycles:13
Cand:10, Probs:30, foundPercentage:9, AvgCycles:9
Cand:10, Probs:30, foundPercentage:6, AvgCycles:12
Cand:10, Probs:30, foundPercentage:5, AvgCycles:21
Cand:10, Probs:30, foundPercentage:2, AvgCycles:31
Cand:10, Probs:30, foundPercentage:4, AvgCycles:22
Cand:10, Probs:30, foundPercentage:5, AvgCycles:13
Cand:10, Probs:30, foundPercentage:6, AvgCycles:18
Cand:10, Probs:30, foundPercentage:2, AvgCycles:7
Cand:10, Probs:30, foundPercentage:4, AvgCycles:28
Cand:10, Probs:30, foundPercentage:5, AvgCycles:18
Cand:10, Probs:30, foundPercentage:7, AvgCycles:10
Cand:10, Probs:30, foundPercentage:6, AvgCycles:15
Cand:10, Probs:30, foundPercentage:4, AvgCycles:24
Cand:10, Probs:30, foundPercentage:4, AvgCycles:11
Cand:10, Probs:30, foundPercentage:3, AvgCycles:15
Cand:10, Probs:30, foundPercentage:3, AvgCycles:9
Cand:10, Probs:30, foundPercentage:5, AvgCycles:16
Cand:10, Probs:30, foundPercentage:2, AvgCycles:20
Cand:10, Probs:30, foundPercentage:4, AvgCycles:16
Cand:10, Probs:40, foundPercentage:4, AvgCycles:10
Cand:10, Probs:40, foundPercentage:5, AvgCycles:26
Cand:10, Probs:40, foundPercentage:7, AvgCycles:19
Cand:10, Probs:40, foundPercentage:5, AvgCycles:19
Cand:10, Probs:40, foundPercentage:6, AvgCycles:31
Cand:10, Probs:40, foundPercentage:4, AvgCycles:8
Cand:10, Probs:40, foundPercentage:6, AvgCycles:16
Cand:10, Probs:40, foundPercentage:4, AvgCycles:14
Cand:10, Probs:40, foundPercentage:3, AvgCycles:16
Cand:10, Probs:40, foundPercentage:3, AvgCycles:16
Cand:10, Probs:40, foundPercentage:6, AvgCycles:19
Cand:10, Probs:40, foundPercentage:7, AvgCycles:16
Cand:10, Probs:40, foundPercentage:3, AvgCycles:24
Cand:10, Probs:40, foundPercentage:8, AvgCycles:16
Cand:10, Probs:40, foundPercentage:7, AvgCycles:16
Cand:10, Probs:40, foundPercentage:4, AvgCycles:19
Cand:10, Probs:40, foundPercentage:9, AvgCycles:13
Cand:10, Probs:40, foundPercentage:4, AvgCycles:14
Cand:10, Probs:40, foundPercentage:6, AvgCycles:19
Cand:10, Probs:40, foundPercentage:4, AvgCycles:17
Cand:10, Probs:40, foundPercentage:4, AvgCycles:40
Cand:10, Probs:40, foundPercentage:5, AvgCycles:17
Cand:10, Probs:40, foundPercentage:2, AvgCycles:17
Cand:10, Probs:40, foundPercentage:5, AvgCycles:19
Cand:10, Probs:40, foundPercentage:3, AvgCycles:26
Cand:10, Probs:40, foundPercentage:9, AvgCycles:17
Cand:10, Probs:40, foundPercentage:3, AvgCycles:18
Cand:10, Probs:40, foundPercentage:7, AvgCycles:12
Cand:10, Probs:40, foundPercentage:1, AvgCycles:11
Cand:10, Probs:40, foundPercentage:2, AvgCycles:31
Cand:10, Probs:40, foundPercentage:5, AvgCycles:11
